country_code,country_name,time,year,month,tp,uvb,cp,lsp,ssrd,i10fg,u10,v10,d2m,t2m,msl,sp,skt,number
MDA,Moldova,2024-09-01,2024,9,0.003392412822919061,1499076.754723459,0.0021655368380772,0.0012268124599094485,13578064.123557944,6.489462761909492,-1.1005555034361332,-0.6215209432455467,284.81736786092637,292.4944388542862,101495.913375148,99823.86888382907,292.66804216465675,0
MDA,Moldova,2024-10-01,2024,10,0.0014877920827439056,924016.1748320041,0.0009741724415766285,0.0005133614084009193,8590485.8255553,5.625877213329065,0.7543854969168454,-0.6977466286323578,280.85619039138703,284.4562131346262,102104.76511655928,100386.89812355621,284.4820965820986,0
MDA,Moldova,2024-11-01,2024,11,0.0012841639898884547,528363.290151734,9.070601351285938e-05,0.0011936220316383407,5094900.980100492,5.853872003045248,0.6146430486598937,-0.20408241180730585,273.3155866125332,276.76588193514885,102346.21832403855,100577.66958657857,276.33810402014416,0
MDA,Moldova,2024-12-01,2024,12,0.0012960631336881095,302179.19190914405,0.0002922837639380259,0.001003808047374983,2760498.7145228074,6.766598553209504,0.26822432943221547,-0.6478990462426413,273.201818566341,275.2310730573525,102229.65845546918,100449.10245239147,274.94012275504963,0
ROU,Romania,2003-01-01,2003,1,0.002172644195851628,520457.43351653434,0.00039882916474279635,0.0017738346715912125,4583603.745193017,5.258997618654204,0.02421541306340927,0.04515831479898045,268.80108725537656,270.68889659399264,101705.91380460333,96877.27496893622,269.74333468921503,0
ROU,Romania,2003-02-01,2003,2,0.001116268283362559,988753.3912409435,0.00017260536615877175,0.00094361055680698,9119439.64870398,5.309356797628867,0.034395255573266774,-0.7233033075559372,264.65811651703535,267.8151998766101,102242.62529815649,97336.07646788511,267.1326052550399,0
ROU,Romania,2003-03-01,2003,3,0.0011700627461770192,1476429.3414931153,0.00040094624880466465,0.0007691484170218688,13707978.504104258,5.4130105730246,0.2163347541620942,-0.6375637299210923,270.26552727300805,275.24589451712495,102180.9763382564,97392.3006372759,274.5527914666058,0
ROU,Romania,2003-04-01,2003,4,0.0019049912238531396,1901099.8417362208,0.000835013690605281,0.0010699857980988583,17586969.19275168,6.466503070183913,-0.27608678696299815,-0.15241586639462493,274.1791614684907,281.4570308992304,101617.17202168517,96930.96226597692,280.81015242827476,0
ROU,Romania,2003-05-01,2003,5,0.0016414817625979516,2446152.377073937,0.0014286954372849058,0.000212599200374548,22544399.142986216,5.422048963512156,-0.4428919216137203,0.12485855905973255,283.5148448451077,291.9123532703569,101656.70925920655,97102.69297837673,292.19184407838264,0
ROU,Romania,2003-06-01,2003,6,0.0013356265894400967,2539961.431748627,0.00116580271123945,0.00016980228046638285,23120276.16600768,5.10072471310892,0.4749897732562722,-0.4520861694804188,285.6854351124122,293.7071423799598,101486.82907909261,96948.47935665723,294.5647143323492,0
ROU,Romania,2003-07-01,2003,7,0.003256098050295522,2292552.7662228947,0.0026702350405492454,0.0005858660613702258,20572035.35536874,5.333971081173546,0.7867617724937659,-0.5913815038693218,287.46294034426955,293.65104059399465,101295.24455719673,96762.82418592426,294.3544116166449,0
ROU,Romania,2003-08-01,2003,8,0.0010473261611039788,2245777.5660904096,0.0009768629992281481,7.075804549857494e-05,20383292.33855244,5.144819161002594,0.38074182005057794,-0.5542698297203583,286.31850961975033,294.9242727662195,101505.19095628874,96978.94656620402,295.6029089212148,0
ROU,Romania,2003-09-01,2003,9,0.0024106696946430885,1458878.4964085156,0.000925529648490606,0.001485217214299842,13494907.663323868,5.274889301664264,-0.20112433541025554,-0.5178404997427787,282.05254421217103,287.86747242587006,101944.46624904139,97339.79216134253,287.9559128047304,0
ROU,Romania,2003-10-01,2003,10,0.003294526677983701,886675.0408942646,0.0012148509086601271,0.0020797182298083064,8206272.3546307,5.880650614923429,0.5479840433054775,0.2260952040450541,277.7843019603214,281.2173611672241,101485.26174127763,96806.57871956218,281.0430861652048,0
ROU,Romania,2003-11-01,2003,11,0.0013337991363162902,588308.5813529403,0.0003565955454937484,0.0009772653048603893,5569353.713649604,5.401837282178203,-0.3405110972370068,-0.044822645101801874,276.13440386519113,278.8000363662892,102278.81023962598,97557.67726328167,278.09639848794706,0
ROU,Romania,2003-12-01,2003,12,0.0013284185615581273,477347.6232525629,9.614602401266726e-05,0.0012323249891279552,4602485.598673247,5.3216128033847845,0.26651628431926977,-0.2057927998553052,269.6740976946734,272.48293970435793,102148.99067835517,97345.08672581505,271.80752983096585,0
ROU,Romania,2004-01-01,2004,1,0.0021959869934576434,542367.6704840942,0.00029386571000925346,0.0019021946973441762,4774764.407413166,5.428205098325748,0.6181586615055805,-0.3787189295251521,266.6391251867455,268.9418492113395,101224.60017833425,96382.40713942394,268.08535327227867,0
ROU,Romania,2004-02-01,2004,2,0.001909245009872301,902224.1823385465,0.0006733423379795794,0.0012358372975210218,8424503.265347926,6.761477165591371,1.2409453171924767,-0.12904538095622461,269.0734331734974,272.9576729151205,101739.6227743074,96924.89616181926,272.0300377441442,0
ROU,Romania,2004-03-01,2004,3,0.0016045477648416807,1341404.8206557706,0.0004750628723906786,0.0011296630514018257,12421488.88102713,6.03670450725108,0.3902368242711859,0.1444360843379929,272.87543939082633,278.11703548103844,102110.3318072807,97351.15273150666,277.2780692362806,0
ROU,Romania,2004-04-01,2004,4,0.0021224173187681405,1924493.7751743535,0.0010813645274312324,0.0010410697413501108,17838026.658851743,5.793439148734916,-0.5919938654681303,0.0751502565052317,276.37767777447635,283.524895998942,101457.49777317776,96816.3024204858,283.30104168213217,0
ROU,Romania,2004-05-01,2004,5,0.0026576036944195697,2175479.782479043,0.0016821769840764421,0.0009753411518936953,19941194.39556698,6.0702521535821115,0.29301828905639543,0.030787666631749196,280.63629518395976,286.8069892376177,101265.64536850397,96671.29324669151,287.0052105298249,0
ROU,Romania,2004-06-01,2004,6,0.002750692682986411,2352936.0030910624,0.002279344512074779,0.00047128743601042164,21380846.232023124,5.609988351323265,0.2993152365139817,-0.3361782627105418,284.9866416824553,291.19898974023687,101494.33916575786,96935.58048177045,291.44614913896766,0
ROU,Romania,2004-07-01,2004,7,0.00383206016801275,2324266.0170751754,0.0027495261437987606,0.0010824591805650894,20907640.211255237,5.074543168257021,0.3304366445448373,-0.025432604502850002,287.24086727340045,293.39476687064877,101412.96183862892,96875.81177898188,294.1150165077899,0
ROU,Romania,2004-08-01,2004,8,0.002990595404165065,2047034.0379201937,0.00249961779507937,0.0004909351754582034,18584333.272239927,5.029690261936697,0.35564600134399954,-0.558639738961431,287.31507012925124,292.65359848109557,101287.30109329101,96752.31669839942,293.0309697448522,0
